UO CADASTRADORA,12106,TRF - 5a. Regi�o
UO DEVEDORA,20201,INCRA
2019,03475703420174050000,PLANO DE CLASSIFICACAO DE CARGOS  SISTEMA REMUNERATORIO E BENEFICIOS,111.545
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
2019,03221794320184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,60.059
"",,ADMINISTRATIVO,
2019,03221777320184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.442
"",,ADMINISTRATIVO,
2019,03221768820184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,70.578
"",,ADMINISTRATIVO,
2019,03221699620184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,60.874
"",,ADMINISTRATIVO,
2019,03221681420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,75.288
"",,ADMINISTRATIVO,
2019,03221569720184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.553
"",,ADMINISTRATIVO,
2019,03221664420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,68.266
"",,ADMINISTRATIVO,
2019,03221655920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,62.040
"",,ADMINISTRATIVO,
2019,03221647420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,76.252
"",,ADMINISTRATIVO,
2019,03221638920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,70.796
"",,ADMINISTRATIVO,
2019,03221620720184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,62.040
"",,ADMINISTRATIVO,
2019,03221612220184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,59.257
"",,ADMINISTRATIVO,
2019,03221603720184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,66.721
"",,ADMINISTRATIVO,
2019,03914610820174050000,RESTABELECIMENTO  PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,77.293
2019,03221595220184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,64.289
"",,ADMINISTRATIVO,
2019,03221586720184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,82.938
"",,ADMINISTRATIVO,
2019,03221578220184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.989
"",,ADMINISTRATIVO,
2019,03221742120184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,64.330
"",,ADMINISTRATIVO,
2019,03141466420184050000,INVALIDEZ PERMANENTE  APOSENTADORIA  SERVIDOR PUBLICO CIVIL,88.230
"",,ADMINISTRATIVO,
2019,03221040420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,63.077
"",,ADMINISTRATIVO,
2019,03221031920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.382
"",,ADMINISTRATIVO,
2019,03221023420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,88.774
"",,ADMINISTRATIVO,
2019,03221006420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,60.919
"",,ADMINISTRATIVO,
2019,03220989420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,67.855
"",,ADMINISTRATIVO,
2019,03220971220184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,150.374
"",,ADMINISTRATIVO,
2019,03220962720184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,62.833
"",,ADMINISTRATIVO,
2019,03220954220184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,84.572
